"id","descrizione","codiceIdentificativo"
"394","Digitalizzazione dei parchi nazionali. Servizi digitali ai visitatori dei parchi nazionali e delle aree marine protette","M2C4I3.2.B"
"395","Digitalizzazione dei parchi nazionali. Semplificazione amministrativa - Digitalizzazione e semplificazione delle procedure per i servizi forniti dai Parchi e dalle Aree Marine Protette.","M2C4I3.2.C"
"124","Rinaturazione dell'area del Po","M2C4I3.3"
"125","Bonifica del ""suolo dei siti orfani""","M2C4I3.4"
"126","Ripristino e tutela dei fondali e degli habitat marini","M2C4I3.5"
"127","Investimenti in infrastrutture idriche primarie per la sicurezza dell'approvvigionamento idrico","M2C4I4.1"
"128","Riduzione delle perdite nelle reti di distribuzione dell'acqua, compresa la digitalizzazione e il monitoraggio delle reti","M2C4I4.2"
"129","Investimenti nella resilienza dell'agrosistema irriguo per una migliore gestione delle risorse idriche","M2C4I4.3"
"130","Investimenti in fognatura e depurazione","M2C4I4.4"
"508","Regime di sovvenzioni per gli investimenti in infrastrutture idriche (FNISSI)","M2C4I4.5"
"131","Semplificazione e accelerazione delle procedure per l'attuazione degli interventi contro il dissesto idrogeologico","M2C4R2.1"
"132","Adozione di programmi nazionali di controllo dell'inquinamento atmosferico","M2C4R3.1"
"133","Semplificazione normativa e rafforzamento della governance per la realizzazione di investimenti nelle infrastrutture di approvvigionamento idrico","M2C4R4.1"
"134","Misure per garantire la piena capacità gestionale per i servizi idrici integrati","M2C4R4.2"
"135","Collegamenti ferroviari ad Alta Velocità verso il Sud per passeggeri e merci","M3C1I1.1"
"509","Potenziamento dei nodi ferroviari metropolitani e delle linee ferroviarie interregionali e regionali","M3C1I1.10"
"136","Collegamenti ferroviari ad Alta Velocità con il Mezzogiorno per passeggeri e merci (Napoli - Bari)","M3C1I1.1.1"
"137","Collegamenti ferroviari ad Alta Velocità con il Mezzogiorno per passeggeri e merci (Palermo-Catania)","M3C1I1.1.2"
"138","Collegamenti ferroviari ad Alta Velocità con il Mezzogiorno per passeggeri e merci (Salerno-Reggio Calabria)","M3C1I1.1.3"
"139","Linee ad alta velocità nel Nord che collegano all'Europa","M3C1I1.2"
"140","Linee di collegamento ad Alta Velocità con l’Europa nel Nord (Brescia-Verona-Vicenza - Padova)","M3C1I1.2.1"
"141","Linee di collegamento ad Alta Velocità con l’Europa nel Nord (Liguria-Alpi)","M3C1I1.2.2"
"143","Connessioni diagonali","M3C1I1.3"
"145","Collegamenti diagonali (Orte-Falconara)","M3C1I1.3.2"
"146","Collegamenti diagonali (Taranto-Metaponto-Potenza-Battipaglia)","M3C1I1.3.3"
"147","Sviluppo del sistema europeo di gestione del traffico ferroviario (ERTMS)","M3C1I1.4"
"151","Miglioramento delle stazioni ferroviarie nel Sud","M3C1I1.8"
"152","Accelerazione dell'iter di approvazione del contratto tra MIMS e RFI","M3C1R1.1"
"153","Accelerazione dell'iter di approvazione dei progetti ferroviari","M3C1R1.2"
"503","Rafforzare l'efficienza dell'infrastruttura ferroviaria in Italia","M3C1R1.3"
"154","Attuazione del recente ""Decreto Semplificazioni"" (convertito nella legge 11 settembre 2020, n. 120) mediante l'emanazione di un decreto relativo all'attuazione di ""Linee guida per la classificazione e gestione del rischio, la valutazione della sicure","M3C1R2.1"
"155","Trasferimento della titolarità di ponti e viadotti delle strade di secondo livello ai titolari delle strade di primo livello","M3C1R2.2"
"156","Porti verdi: interventi in materia di energia rinnovabile ed efficienza energetica nei porti","M3C2I1.1"
"157","Digitalizzazione della catena logistica","M3C2I2.1"
"298","LogIN Center","M3C2I2.1.1"
"299","Rete di porti e interporti","M3C2I2.1.2"
"300","LogIN Business","M3C2I2.1.3"
"158","Digitalizzazione della gestione del traffico aereo","M3C2I2.2"
"301","Digitalizzazione della manutenzione e gestione dei dati aeronautici","M3C2I2.2.1"
"302","Ottimizzazione delle procedure di avvicinamento APT","M3C2I2.2.2"
"426","Elettrificazione delle banchine portuali per la riduzione delle emissioni delle navi nella fase di stazionamento in porto (c.d. cold ironing)","M3C2I2.3"
"159","Semplificazione delle procedure per il processo di pianificazione strategica","M3C2R1.1"
"160","Aggiudicazione competitiva delle concessioni nelle aree portuali","M3C2R1.2"
"161","Semplificazione delle procedure di autorizzazione per gli impianti di cold ironing","M3C2R1.3"
"162","Semplificazione delle transazioni di importazione/esportazione attraverso l'effettiva implementazione dello Sportello Unico dei Cont rolli","M3C2R2.1"
"163","Istituzione di una piattaforma logistica digitale nazionale finalizzata alla digitalizzazione dei servizi di trasporto merci e/o passeggeri.","M3C2R2.2"
"164","Semplificazione delle procedure logistiche e digitalizzazione dei documenti, con particolare riferimento all'adozione della CMR elet tronica, alla modernizzazione della normativa sulla spedizione delle merci, all’individuazione dei laboratori di anal","M3C2R2.3"
"165","Piano asili nido e scuole dell'infanzia e servizi di educazione e cura per la prima infanzia","M4C1I1.1"
"166","Piano di estensione del tempo pieno","M4C1I1.2"
"167","Potenziamento infrastrutture per lo sport a scuola","M4C1I1.3"
"168","Intervento straordinario finalizzato alla riduzione dei divari territoriali nei cicli I e II della scuola secondaria di secondo grado e alla riduzione dell'abbandono scolastico","M4C1I1.4"
"169","Sviluppo del sistema di formazione professionale terziaria (ITS)","M4C1I1.5"
"170","Orientamento attivo nella transizione scuola-università","M4C1I1.6"
"171","Borse di studio per l'accesso all'università","M4C1I1.7"
"172","Didattica digitale integrata e formazione sulla transizione digitale del personale scolastico","M4C1I2.1"
"173","Nuove competenze e nuovi linguaggi","M4C1I3.1"
"174","Scuola 4.0 - scuole innovative,nuove aule didattiche e laboratori","M4C1I3.2"
"175","Piano di messa in sicurezza e riqualificazione dell'edilizia scolastica","M4C1I3.3"
"176","Didattica e competenze universitarie avanzate","M4C1I3.4"
"177","Estensione del numero di dottorati di ricerca e dottorati innovativi orientati alla ricerca, per la Pubblica Amministrazione e il patrimonio culturale","M4C1I4.1"
"510","Fondo per gli alloggi destinati agli studenti","M4C1I5"
"178","Riforma degli Istituti tecnici e professionali","M4C1R1.1"
"179","Riforma del sistema ITS","M4C1R1.2"
"180","Riforma dell'organizzazione del sistema scolastico","M4C1R1.3"
"181","Riforma del sistema di Orientamento","M4C1R1.4"
