"scadenza","misura"
"579","M2C4I3.1"
"580","M2C4I3.1"
"581","M2C4I3.1"
"582","M2C4I3.2.A"
"582","M2C4I3.2.B"
"582","M2C4I3.2.C"
"585","M2C4I3.2.B"
"585","M2C4I3.2.A"
"585","M2C4I3.2.C"
"587","M2C4I3.3"
"589","M2C4I3.3"
"590","M2C4I3.3"
"592","M2C4I3.4"
"594","M2C4I3.4"
"602","M2C4I3.5"
"631","M2C4R3.1"
"607","M2C4I4.1"
"609","M2C4I4.1"
"613","M2C4I4.2"
"614","M2C4I4.2"
"615","M2C4I4.2"
"621","M2C4I4.3"
"622","M2C4I4.3"
"623","M2C4I4.3"
"624","M2C4I4.3"
"625","M2C4I4.3"
"626","M2C4I4.4"
"627","M2C4I4.4"
"628","M2C4I4.4"
"633","M2C4R4.1"
"634","M2C4R4.1"
"635","M2C4R4.2"
"636","M2C4R4.2"
"637","M2C4R4.2"
"746","M3C1R1.1"
"747","M3C1R1.2"
"639","M3C1I1.1.1"
"639","M3C1I1.1.2"
"641","M3C1I1.1.3"
"643","M3C1I1.1.1"
"643","M3C1I1.1.2"
"643","M3C1I1.1.3"
"666","M3C1I1.2.1"
"666","M3C1I1.2.2"
"705","M3C1I1.3.3"
"689","M3C1I1.3.2"
"690","M3C1I1.3.2"
"690","M3C1I1.3.3"
"712","M3C1I1.4"
"715","M3C1I1.4"
"716","M3C1I1.4"
"718","M3C1I1.4"
"742","M3C1I1.8"
"744","M3C1I1.8"
"748","M3C1R2.1"
"749","M3C1R2.2"
"770","M3C2R1.1"
"751","M3C2I1.1"
"756","M3C2I1.1"
"771","M3C2R1.2"
"772","M3C2R1.3"
"773","M3C2R2.1"
"757","M3C2I2.1.1"
"757","M3C2R2.3"
"757","M3C2I2.1.2"
"757","M3C2I2.1.3"
"758","M3C2I2.1.2"
"758","M3C2I2.1.1"
"760","M3C2I2.1.1"
"760","M3C2I2.1.2"
"760","M3C2I2.1.3"
"765","M3C2I2.2.2"
"765","M3C2I2.2.1"
"774","M3C2R2.2"
"766","M3C2I2.2.1"
"766","M3C2I2.2.2"
"768","M3C2I2.3"
"775","M3C2R2.3"
"776","M4C1I1.1"
"777","M4C1I1.1"
"778","M4C1I1.1"
"782","M4C1I1.2"
"783","M4C1I1.2"
"788","M4C1I1.2"
"852","M4C1R1.1"
"852","M4C1R1.2"
"852","M4C1R1.4"
"852","M4C1R1.3"
"789","M4C1I1.3"
"791","M4C1I1.3"
"794","M4C1I1.4"
"796","M4C1I1.4"
"803","M4C1I1.4"
"804","M4C1I1.4"
"855","M4C1R1.6"
"855","M4C1R1.5"
"855","M4C1R4.1"
"856","M4C1R1.5"
"806","M4C1I1.5"
"807","M4C1I1.5"
"857","M4C1R1.6"
"808","M4C1I1.6"
"811","M4C1I1.7"
"812","M4C1I1.7"
"813","M4C1I1.7"
"858","M4C1R1.7"
"859","M4C1R1.7"
"860","M4C1R1.7"
"861","M4C1R1.7"
"862","M4C1R1.7"
"818","M4C1I2.1"
"863","M4C1R2.1"
"864","M4C1R2.1"
"853","M4C1R1.4"
"853","M4C1R1.3"
"853","M4C1R1.2"
"853","M4C1R1.5"
"853","M4C1R1.6"
"853","M4C1R2.1"
"865","M4C1R2.1"
"866","M4C1R2.2"
"829","M4C1I3.1"
"833","M4C1I3.1"
"834","M4C1I3.1"
"835","M4C1I3.2"
"836","M4C1I3.2"
"837","M4C1I3.3"
"839","M4C1I3.3"
"842","M4C1I3.4"
"868","M4C1R4.1"
"848","M4C1I4.1"
"921","M4C2R1.1"
"922","M4C2R1.1"
"923","M4C2R1.1"
"924","M4C2R1.1"
"874","M4C2I1.1"
"877","M4C2I1.1"
"878","M4C2I1.1"
"879","M4C2I1.2"
"882","M4C2I1.2"
"884","M4C2I1.3"
"885","M4C2I1.3"
"887","M4C2I1.3"
"890","M4C2I1.4"
"891","M4C2I1.4"
"892","M4C2I1.4"
"895","M4C2I1.5"
"897","M4C2I1.5"
"898","M4C2I2.1"
"900","M4C2I2.1"
"901","M4C2I2.1"
"902","M4C2I2.1"
"907","M4C2I2.3"
"908","M4C2I2.3"
"909","M4C2I2.3"
"912","M4C2I3.1"
"913","M4C2I3.1"
"915","M4C2I3.2"
"916","M4C2I3.2"
"918","M4C2I3.3"
"919","M4C2I3.3"
"920","M4C2I3.3"
"950","M5C1R1.1"
"951","M5C1R1.1"
"952","M5C1R1.1"
"953","M5C1R1.1"
"954","M5C1R1.1"
"955","M5C1R1.2"
"956","M5C1R1.2"
"957","M5C1R1.2"
"958","M5C1R1.2"
"927","M5C1I1.1"
"928","M5C1I1.1"
"938","M5C1I1.3"
"942","M5C1I1.3"
"943","M5C1I1.4"
"944","M5C1I1.4"
"945","M5C1I2.1"
"949","M5C1I2.1"
"930","M5C1I1.2"
"931","M5C1I1.2"
"937","M5C1I1.2"
"1019","M5C2R1.1"
"1020","M5C2R1.1"
"1021","M5C2R1.2"
"1022","M5C2R1.2"
"960","M5C2I1.1.4"
"962","M5C2I1.1.1"
"962","M5C2I1.1.3"
"962","M5C2I1.1.4"
"962","M5C2I1.1.2"
"963","M5C2I1.1.4"
"964","M5C2I1.1.1"
"965","M5C2I1.1.1"
"966","M5C2I1.1.2"
"968","M5C2I1.1.3"
"969","M5C2I1.1.3"
"971","M5C2I1.2"
"976","M5C2I1.2"
"978","M5C2I1.3"
"984","M5C2I1.3"
"989","M5C2I2.1"
"995","M5C2I2.1"
"997","M5C2I2.2.C"
"998","M5C2I2.2.C"
"1000","M5C2I2.2.C"
"1001","M5C2I2.2.A"
"1002","M5C2I2.2.A"
"1003","M5C2I2.2.A"
"1004","M5C2I2.2.B"
"1007","M5C2I2.2.B"
"1011","M5C2I2.3.1"
"1012","M5C2I2.3.1"
"1014","M5C2I3.1"
"1017","M5C2I3.1"
"1027","M5C3I1.1.2"
"1028","M5C3I1.1.2"
"1033","M5C3I1.3"
"1036","M5C3I1.3"
"1037","M5C3I1.3"
"1038","M5C3I1.3"
"1040","M5C3I1.3"
"1043","M5C3I1.3"
"1047","M5C3R1.1"
"1044","M5C3I1.4.2"
"1044","M5C3I1.4.4"
"1044","M5C3I1.4.1"
"1044","M5C3I1.4.3"
"1045","M5C3I1.4.2"
"1045","M5C3I1.4.1"
"1045","M5C3I1.4.4"
"1045","M5C3I1.4.3"
"1046","M5C3I1.4.1"
"1046","M5C3I1.4.2"
"1046","M5C3I1.4.3"
"1046","M5C3I1.4.4"
"1095","M6C1R1.1"
"1048","M6C1I1.1"
"1056","M6C1I1.1"
"1057","M6C1I1.1"
"1063","M6C1I1.2.1"
"1064","M6C1I1.2.2"
"1077","M6C1I1.2.3"
"1080","M6C1I1.2.2"
"1082","M6C1I1.2.3"
"1084","M6C1I1.2.1"
"1089","M6C1I1.3"
"1094","M6C1I1.3"
"1096","M6C2I1.1.1"
"1097","M6C2I1.1.1"
"1097","M6C2I1.1.2"
"1098","M6C2I1.1.2"
"1099","M6C2I1.1.1"
"1148","M6C2R1.1"
"1100","M6C2I1.1.2"
"1101","M6C2I1.1.1"
"1102","M6C2I1.1.1"
"1103","M6C2I1.1.1"
"1104","M6C2I1.2"
"1106","M6C2I1.2"
"1107","M6C2I1.3.2"
"1108","M6C2I1.3.2"
"1116","M6C2I1.3.2"
"1118","M6C2I1.3.2"
"1119","M6C2I1.3.1"
"1120","M6C2I1.3.1"
"1121","M6C2I1.3.1"
"1128","M6C2I2.1"
"1130","M6C2I2.1"
"1131","M6C2I2.1"
"1132","M6C2I2.1"
"1133","M6C2I2.2.D"
"1134","M6C2I2.2.A"
"1136","M6C2I2.2.A"
"1138","M6C2I2.2.A"
"1139","M6C2I2.2.A"
"1140","M6C2I2.2.A"
"1141","M6C2I2.2.B"
"1142","M6C2I2.2.B"
"1143","M6C2I2.2.D"
"1144","M6C2I2.2.C"
"1145","M6C2I2.2.B"
"1147","M6C2I2.2.B"
"1149","PNC-A.4"
"1151","PNC-A.4"
"1152","PNC-A.4"
"1153","PNC-A.4"
"1154","PNC-A.4"
"1156","PNC-A.4"
"1163","PNC-B.1.1"
"1164","PNC-B.1.1"
"1165","PNC-B.1.1"
"1166","PNC-B.1.1"
"1167","PNC-B.1.1"
"1168","PNC-B.1.1"
"1169","PNC-B.1.1"
"1170","PNC-B.1.1"
"1171","PNC-B.1.2"
"1172","PNC-B.1.2"
"1173","PNC-B.1.2"
"1174","PNC-B.1.2"
"1175","PNC-B.1.2"
"1176","PNC-C.1"
"1177","PNC-C.1"
"1178","PNC-C.1"
"1179","PNC-C.1"
"1180","PNC-C.1"
"1182","PNC-C.2.1.1"
"1184","PNC-C.2.1.1"
"1185","PNC-C.2.1.1"
"1186","PNC-C.2.1.1"
"1188","PNC-C.2.1.2"
"1190","PNC-C.2.1.2"
"1191","PNC-C.2.1.2"
"1192","PNC-C.2.2"
"1193","PNC-C.2.2"
"1194","PNC-C.2.2"
"1198","PNC-C.2.2"
"1199","PNC-C.2.2"
"1200","PNC-C.2.2"
"1202","PNC-C.2.2"
"1205","PNC-C.2.2"
"1207","PNC-C.2.3.1"
"1208","PNC-C.2.3.1"
"1210","PNC-C.2.3.1"
"1212","PNC-C.2.3.2"
"1213","PNC-C.2.3.2"
"1215","PNC-C.2.3.2"
"1216","PNC-C.3"
"1217","PNC-C.3"
"1218","PNC-C.3"
"1219","PNC-C.3"
"1220","PNC-C.3"
"1223","PNC-C.4.1.1"
"1224","PNC-C.4.1.1"
"1226","PNC-C.4.1.1"
"1229","PNC-C.4.1.1"
"1231","PNC-C.4.1.1"
"1232","PNC-C.4.1.2"
"1234","PNC-C.4.1.2"
"1235","PNC-C.4.1.2"
"1237","PNC-C.4.2.1"
"1238","PNC-C.4.2.1"
"1240","PNC-C.4.2.1"
"1242","PNC-C.4.2.1"
"1243","PNC-C.4.2.1"
"1245","PNC-C.4.2.1"
"1248","PNC-C.5.1"
"1249","PNC-C.5.1"
"1251","PNC-C.5.1"
"1252","PNC-C.5.1"
"1254","PNC-C.5.1"
"1256","PNC-C.5.1"
"1257","PNC-C.5.1"
"1258","PNC-C.5.1"
"1259","PNC-C.5.1"
"1261","PNC-C.5.2"
"1264","PNC-C.5.2"
"1267","PNC-C.5.3"
"1273","PNC-C.6"
"1275","PNC-C.6"
